Player,Season,From Club,To Club,Market Value,Transfer Fee
Jude Bellingham,23/24,Bor. Dortmund,Real Madrid,€120.00m,€103.00m
Jude Bellingham,20/21,Birmingham,Bor. Dortmund,€11.00m,€30.15m
Jude Bellingham,19/20,Birmingham U18,Birmingham,-,-
Erling Haaland,22/23,Bor. Dortmund,Man City,€150.00m,€60.00m
Erling Haaland,19/20,RB Salzburg,Bor. Dortmund,€45.00m,€20.00m
Erling Haaland,18/19,Molde FK,RB Salzburg,€5.00m,€8.00m
Erling Haaland,16/17,Bryne,Molde FK,€200k,€100k
Erling Haaland,15/16,Bryne FK Yth.,Bryne,-,-
Kylian Mbappé,18/19,Monaco,Paris SG,€120.00m,€180.00m
Kylian Mbappé,17/18,Paris SG,Monaco,€120.00m,End of loan
Kylian Mbappé,17/18,Monaco,Paris SG,€35.00m,loan transfer
Kylian Mbappé,15/16,Monaco U19,Monaco,€50k,-
Kylian Mbappé,15/16,Monaco Youth,Monaco U19,-,-
Kylian Mbappé,13/14,Clairef. Yth.,Monaco Youth,-,free transfer
Kylian Mbappé,11/12,AS Bondy Yth.,Clairef. Yth.,-,free transfer
Vinícius Júnior,18/19,Flamengo,Real Madrid,€35.00m,€45.00m
Vinícius Júnior,16/17,Flamengo U20,Flamengo,-,-
Bukayo Saka,19/20,Arsenal U23,Arsenal,-,-
Bukayo Saka,18/19,Arsenal U18,Arsenal U23,-,-
Bukayo Saka,17/18,Arsenal Youth,Arsenal U18,-,-
Phil Foden,17/18,Man City U18,Man City,-,-
Phil Foden,16/17,Man City Youth,Man City U18,-,-
Florian Wirtz,20/21,Leverkusen U19,B. Leverkusen,-,-
Florian Wirtz,19/20,1.FC Köln U17,Leverkusen U19,-,€200k
Florian Wirtz,18/19,1.FC Köln Yth.,1.FC Köln U17,-,-
Florian Wirtz,10/11,Brauweiler Yth.,1.FC Köln Yth.,-,free transfer
Jamal Musiala,20/21,FC Bayern U19,Bayern Munich,€1.00m,-
Jamal Musiala,19/20,FC Bayern U17,FC Bayern U19,-,-
Jamal Musiala,19/20,Chelsea Youth,FC Bayern U17,-,€200k
Jamal Musiala,10/11,Southampton Aca,Chelsea Youth,-,free transfer
Jamal Musiala,10/11,TSV Lehnerz Jgd.,Southampton Aca,-,free transfer
Lautaro Martínez,18/19,Racing Club,Inter,€25.00m,€25.00m
Lautaro Martínez,15/16,Racing Club U20,Racing Club,-,-
Lautaro Martínez,13/14,Liniers,Racing Club U20,-,?
Victor Osimhen,20/21,LOSC Lille,SSC Napoli,€40.00m,€75.00m
Victor Osimhen,19/20,R Charleroi SC,LOSC Lille,€13.00m,€22.40m
Victor Osimhen,19/20,VfL Wolfsburg,R Charleroi SC,€13.00m,€3.50m
Victor Osimhen,18/19,R Charleroi SC,VfL Wolfsburg,€13.00m,End of loan
Victor Osimhen,18/19,VfL Wolfsburg,R Charleroi SC,€1.00m,loan transfer
Victor Osimhen,16/17,Ult. Strikers,VfL Wolfsburg,-,€3.50m
Declan Rice,23/24,West Ham,Arsenal,€90.00m,€116.60m
Declan Rice,17/18,West Ham U21,West Ham,-,-
Declan Rice,16/17,West Ham U18,West Ham U21,-,-
Declan Rice,15/16,West Ham Yth.,West Ham U18,-,-
Declan Rice,13/14,Chelsea Youth,West Ham Yth.,-,free transfer
Rodri,19/20,Atlético Madrid,Man City,€80.00m,€70.00m
Rodri,18/19,Villarreal,Atlético Madrid,€25.00m,€20.00m
Rodri,16/17,Villarreal CF B,Villarreal,-,-
Rodri,15/16,Villarreal U19,Villarreal CF B,-,-
Rodri,13/14,Atl. Madrid U17,Villarreal U19,-,free transfer
Rodri,12/13,Atléti Youth,Atl. Madrid U17,-,-
Rodri,07/08,CF Rayo Majadaho,Atléti Youth,-,€1.50m
Harry Kane,23/24,Tottenham,Bayern Munich,€90.00m,€95.00m
Harry Kane,12/13,Leicester,Tottenham,€500k,End of loan
Harry Kane,12/13,Tottenham,Leicester,€500k,loan transfer
Harry Kane,12/13,Norwich,Tottenham,€500k,End of loan
Harry Kane,12/13,Tottenham,Norwich,-,loan transfer
Harry Kane,11/12,Millwall,Tottenham,-,End of loan
Harry Kane,11/12,Tottenham,Millwall,-,loan transfer
Harry Kane,10/11,Leyton Orient,Tottenham,-,End of loan
Harry Kane,10/11,Tottenham,Leyton Orient,-,loan transfer
Harry Kane,10/11,Spurs U18,Tottenham,-,-
Harry Kane,09/10,Tottenham Yth.,Spurs U18,-,-
Harry Kane,04/05,Watford Yth.,Tottenham Yth.,-,?
Harry Kane,04/05,Rovers FC Youth,Watford Yth.,-,free transfer
Harry Kane,02/03,Arsenal Youth,Rovers FC Youth,-,free transfer
Harry Kane,01/02,Rovers FC Youth,Arsenal Youth,-,free transfer
Rodrygo,19/20,Santos,Real Madrid,€40.00m,€45.00m
Rodrygo,17/18,Santos U20,Santos,-,-
Federico Valverde,18/19,RM Castilla,Real Madrid,€6.00m,-
Federico Valverde,17/18,Dep. La Coruña,RM Castilla,€6.00m,End of loan
Federico Valverde,17/18,RM Castilla,Dep. La Coruña,€3.00m,loan transfer
Federico Valverde,16/17,Peñarol,RM Castilla,€450k,€5.00m
Federico Valverde,14/15,CA Peñarol U19,Peñarol,-,-
Martin Ødegaard,21/22,Real Madrid,Arsenal,€40.00m,€35.00m
Martin Ødegaard,20/21,Arsenal,Real Madrid,€40.00m,End of loan
Martin Ødegaard,20/21,Real Madrid,Arsenal,€40.00m,"Loan fee:
€2.00m"
Martin Ødegaard,20/21,Real Sociedad,Real Madrid,€45.00m,End of loan
Martin Ødegaard,19/20,Real Madrid,Real Sociedad,€15.00m,"Loan fee:
€2.00m"
Martin Ødegaard,18/19,Vitesse,Real Madrid,€15.00m,End of loan
Martin Ødegaard,18/19,Real Madrid,Vitesse,€4.00m,loan transfer
Martin Ødegaard,17/18,Heerenveen,Real Madrid,€4.00m,End of loan
Martin Ødegaard,16/17,Real Madrid,Heerenveen,€2.00m,loan transfer
Martin Ødegaard,16/17,RM Castilla,Real Madrid,€2.00m,-
Martin Ødegaard,14/15,Strømsgodset,RM Castilla,€4.00m,€2.80m
Martin Ødegaard,13/14,Strømsgodset II,Strømsgodset,€1.00m,-
Martin Ødegaard,13/14,Godset Yth.,Strømsgodset II,-,-
Gavi,21/22,Barça U19,Barcelona,-,-
Gavi,20/21,Barça U16,Barça U19,-,-
Gavi,19/20,Barça Youth,Barça U16,-,-
Gavi,15/16,Real Betis Yth.,Barça Youth,-,€10k
Eduardo Camavinga,21/22,Stade Rennais,Real Madrid,€55.00m,€31.00m
Eduardo Camavinga,18/19,Rennes B,Stade Rennais,-,-
Eduardo Camavinga,18/19,Rennes Jugend,Rennes B,-,-
Julián Álvarez,22/23,River Plate,Man City,€23.00m,End of loan
Julián Álvarez,21/22,Man City,River Plate,€20.00m,loan transfer
Julián Álvarez,21/22,River Plate,Man City,€20.00m,€21.40m
Julián Álvarez,18/19,River Plate II,River Plate,€1.00m,-
Julián Álvarez,17/18,River Plate U20,River Plate II,-,-
Julián Álvarez,15/16,CA Atalaya,River Plate U20,-,?
Aurélien Tchouaméni,22/23,Monaco,Real Madrid,€60.00m,€80.00m
Aurélien Tchouaméni,19/20,G. Bordeaux,Monaco,€14.00m,€18.00m
Aurélien Tchouaméni,18/19,G. Bordeaux B,G. Bordeaux,-,-
Aurélien Tchouaméni,17/18,Bordeaux U19,G. Bordeaux B,-,-
Aurélien Tchouaméni,16/17,Bordeaux U17,Bordeaux U19,-,-
Aurélien Tchouaméni,15/16,FC Girondins Bo,Bordeaux U17,-,-
Rafael Leão,19/20,LOSC Lille,AC Milan,€15.00m,€49.50m
Rafael Leão,18/19,Sporting CP,LOSC Lille,€6.00m,€20.20m
Rafael Leão,17/18,Sporting B,Sporting CP,€500k,-
Rafael Leão,17/18,Sporting U19,Sporting B,-,-
Rafael Leão,16/17,Sporting U17,Sporting U19,-,-
Rafael Leão,14/15,Sporting Sub-15,Sporting U17,-,-
Rafael Leão,12/13,Sporting Yth.,Sporting Sub-15,-,-
Bruno Guimarães,21/22,Olympique Lyon,Newcastle,€30.00m,€42.10m
Bruno Guimarães,19/20,Athletico-PR,Olympique Lyon,€20.00m,€20.00m
Bruno Guimarães,16/17,GO Audax,Atlético-PR,-,?
Moisés Caicedo,23/24,Brighton,Chelsea,€75.00m,€116.00m
Moisés Caicedo,21/22,Beerschot V.A.,Brighton,€4.50m,End of loan
Moisés Caicedo,21/22,Brighton,Beerschot V.A.,€5.00m,loan transfer
Moisés Caicedo,20/21,Independiente,Brighton,€5.00m,€28.20m
Moisés Caicedo,19/20,Independiente B,Independiente,€50k,-
Moisés Caicedo,18/19,IDV U20,Independiente B,-,-
Pedri,19/20,UD Las Palmas,Barcelona,€7.20m,End of loan
Pedri,19/20,Barcelona,UD Las Palmas,-,loan transfer
Pedri,19/20,UD Las Palmas,Barcelona,-,€22.00m
Pedri,19/20,Las Palmas U19,UD Las Palmas,-,-
Pedri,18/19,J.Laguna Yth.,Las Palmas U19,-,?
Gabriel Martinelli,19/20,Ituano,Arsenal,-,€7.10m
Gabriel Martinelli,17/18,Ituano U20,Ituano,-,-
Enzo Fernández,22/23,Benfica,Chelsea,€55.00m,€121.00m
Enzo Fernández,22/23,River Plate,Benfica,€15.00m,€44.25m
Enzo Fernández,21/22,River Plate II,River Plate,€5.00m,-
Enzo Fernández,20/21,Defensa,River Plate II,€5.00m,End of loan
Enzo Fernández,20/21,River Plate II,Defensa,-,loan transfer
Enzo Fernández,18/19,River Plate U20,River Plate II,-,-
Xavi Simons,23/24,RB Leipzig,Paris SG,€80.00m,End of loan
Xavi Simons,23/24,Paris SG,RB Leipzig,€40.00m,loan transfer
Xavi Simons,23/24,PSV Eindhoven,Paris SG,€40.00m,€4.00m
Xavi Simons,22/23,Paris SG,PSV Eindhoven,€4.00m,free transfer
Xavi Simons,21/22,Paris SG U19,Paris SG,€1.50m,-
Xavi Simons,19/20,Barça U16,Paris SG U19,-,free transfer
Xavi Simons,18/19,Barça Youth,Barça U16,-,-
Xavi Simons,10/11,Tháder Youth,Barça Youth,-,free transfer
Khvicha Kvaratskhelia,22/23,Dinamo Batumi,SSC Napoli,€15.00m,€13.30m
Khvicha Kvaratskhelia,21/22,Rubin Kazan,Dinamo Batumi,€16.00m,€6.00m
Khvicha Kvaratskhelia,19/20,Rustavi,Rubin Kazan,€900k,€600k
Khvicha Kvaratskhelia,18/19,Loko Moscow,Rustavi,€900k,End of loan
Khvicha Kvaratskhelia,18/19,Rustavi,Loko Moscow,€350k,"Loan fee:
€100k"
Khvicha Kvaratskhelia,17/18,Dinamo Tbilisi,Rustavi,€125k,€180k
Khvicha Kvaratskhelia,17/18,Dinamo Academy,Dinamo Tbilisi,-,-
William Saliba,21/22,Marseille,Arsenal,€30.00m,End of loan
William Saliba,21/22,Arsenal,Marseille,€18.00m,loan transfer
William Saliba,20/21,OGC Nice,Arsenal,€18.00m,End of loan
William Saliba,20/21,Arsenal,OGC Nice,€17.00m,loan transfer
William Saliba,19/20,Saint-Étienne,Arsenal,€22.50m,End of loan
William Saliba,19/20,Arsenal,Saint-Étienne,€12.00m,loan transfer
William Saliba,19/20,Saint-Étienne,Arsenal,€12.00m,€30.00m
William Saliba,18/19,St-Étienne U19,Saint-Étienne,-,-
William Saliba,17/18,St-Étienne U17,St-Étienne U19,-,-
William Saliba,16/17,Montfermeil Jgd,St-Étienne U17,-,free transfer
William Saliba,14/15,AS Bondy Yth.,Montfermeil Jgd,-,free transfer
Rúben Dias,20/21,Benfica,Man City,€35.00m,€71.60m
Rúben Dias,17/18,Benfica B,Benfica,€1.00m,-
Rúben Dias,15/16,Benfica U19,Benfica B,-,-
Rúben Dias,14/15,Benfica U17,Benfica U19,-,-
Rúben Dias,12/13,Benfica U15,Benfica U17,-,-
Rúben Dias,10/11,Benfica Yth,Benfica U15,-,-
Rúben Dias,08/09,Estrela A. F,Benfica Yth,-,?
Bernardo Silva,17/18,Monaco,Man City,€40.00m,€50.00m
Bernardo Silva,14/15,Benfica,Monaco,€3.50m,€15.75m
Bernardo Silva,14/15,Monaco,Benfica,€3.50m,End of loan
Bernardo Silva,14/15,Benfica,Monaco,€2.50m,loan transfer
Bernardo Silva,14/15,Benfica B,Benfica,€2.50m,-
Bernardo Silva,13/14,Benfica U19,Benfica B,-,-
Bernardo Silva,11/12,Benfica U17,Benfica U19,-,-
Bernardo Silva,09/10,Benfica U15,Benfica U17,-,-
Bernardo Silva,07/08,Benfica Yth,Benfica U15,-,-
Lamine Yamal,23/24,Barça U19,Barcelona,-,-
Lamine Yamal,22/23,Barça U16,Barça U19,-,-
Lamine Yamal,21/22,Barça Youth,Barça U16,-,-
Luis Díaz,21/22,FC Porto,Liverpool,€40.00m,€47.00m
Luis Díaz,19/20,Junior FC,FC Porto,€2.00m,€7.22m
Luis Díaz,17/18,Barranquilla FC,Junior FC,€75k,?
Luis Díaz,16/17,B/quilla FC U20,Barranquilla FC,-,-
Josko Gvardiol,23/24,RB Leipzig,Man City,€75.00m,€90.00m
Josko Gvardiol,21/22,Dinamo Zagreb,RB Leipzig,€19.00m,€36.80m
Josko Gvardiol,19/20,Din. Zagreb U19,Dinamo Zagreb,-,-
Josko Gvardiol,18/19,Din. Zagreb U17,Din. Zagreb U19,-,-
Josko Gvardiol,17/18,D. Zagreb Yth.,Din. Zagreb U17,-,-
Josko Gvardiol,10/11,NK Tresnjevka,D. Zagreb Yth.,-,?
Dominik Szoboszlai,23/24,RB Leipzig,Liverpool,€50.00m,€70.00m
Dominik Szoboszlai,20/21,RB Salzburg,RB Leipzig,€25.00m,€36.00m
Dominik Szoboszlai,17/18,FC Liefering,RB Salzburg,€500k,-
Dominik Szoboszlai,17/18,AKA Salzb. U18,FC Liefering,-,-
Dominik Szoboszlai,16/17,Főnix U19,AKA Salzb. U18,-,€500k
Dominik Szoboszlai,16/17,MTK U17,Főnix U19,-,free transfer
Dominik Szoboszlai,15/16,Főnix Jgd,MTK U17,-,free transfer
Dominik Szoboszlai,07/08,Videoton Jgd.,Főnix Jgd,-,free transfer
Nicolò Barella,20/21,Cagliari Calcio,Inter,€50.00m,€32.50m
Nicolò Barella,19/20,Inter,Cagliari Calcio,€50.00m,End of loan
Nicolò Barella,19/20,Cagliari Calcio,Inter,€36.00m,"Loan fee:
€12.00m"
Nicolò Barella,15/16,Como,Cagliari Calcio,€1.30m,End of loan
Nicolò Barella,15/16,Cagliari Calcio,Como,€800k,loan transfer
Nicolò Barella,14/15,Cagliari U19,Cagliari Calcio,€200k,-
Nicolò Barella,12/13,Cagliari Youth,Cagliari U19,-,-
Darwin Núñez,22/23,Benfica,Liverpool,€55.00m,€85.00m
Darwin Núñez,20/21,UD Almería,Benfica,€10.00m,€34.00m
Darwin Núñez,19/20,Peñarol,UD Almería,€750k,€15.25m
Darwin Núñez,17/18,CA Peñarol U19,Peñarol,-,-
Darwin Núñez,15/16,Peñarol Yth.,CA Peñarol U19,-,-
Alexis Mac Allister,23/24,Brighton,Liverpool,€65.00m,€42.00m
Alexis Mac Allister,19/20,Boca Juniors,Brighton,€12.50m,End of loan
Alexis Mac Allister,19/20,Brighton,Boca Juniors,€5.00m,loan transfer
Alexis Mac Allister,18/19,Argentinos Jrs.,Brighton,€5.00m,End of loan
Alexis Mac Allister,18/19,Brighton,Argentinos Jrs.,€5.00m,loan transfer
Alexis Mac Allister,18/19,Argentinos Jrs.,Brighton,€5.00m,€8.00m
Alexis Mac Allister,17/18,Argentinos II,Argentinos Jrs.,-,-
Alexis Mac Allister,15/16,Argentinos U20,Argentinos II,-,-
Ronald Araujo,20/21,Barcelona B,Barcelona,€10.00m,-
Ronald Araujo,18/19,Boston River,Barcelona B,€175k,€4.70m
Ronald Araujo,17/18,Rentistas,Boston River,€100k,€395k
Ronald Araujo,16/17,Rentistas U19,Rentistas,-,-
Douglas Luiz,19/20,Man City,Aston Villa,€2.50m,€16.80m
Douglas Luiz,18/19,Girona,Man City,€2.50m,End of loan
Douglas Luiz,17/18,Man City,Girona,-,loan transfer
Douglas Luiz,17/18,Vasco da Gama,Man City,-,€12.00m
Douglas Luiz,16/17,Vasco U17,Vasco da Gama,-,-
Éder Militão,19/20,FC Porto,Real Madrid,€50.00m,€50.00m
Éder Militão,18/19,São Paulo,FC Porto,€8.00m,€7.00m
Éder Militão,16/17,São Paulo U20,São Paulo,-,-
Éder Militão,15/16,São Paulo U17,São Paulo U20,-,-
Gabriel Jesus,22/23,Man City,Arsenal,€50.00m,€52.20m
Gabriel Jesus,16/17,Palmeiras,Man City,€16.00m,€32.00m
Gabriel Jesus,14/15,Palmeiras U17,Palmeiras,-,-
Alexander Isak,22/23,Real Sociedad,Newcastle,€30.00m,€70.00m
Alexander Isak,19/20,Bor. Dortmund,Real Sociedad,€8.00m,€15.00m
Alexander Isak,18/19,Willem II,Bor. Dortmund,€8.00m,End of loan
Alexander Isak,18/19,Bor. Dortmund,Willem II,€3.00m,loan transfer
Alexander Isak,16/17,AIK,Bor. Dortmund,€1.75m,€8.60m
Alexander Isak,15/16,AIK U19,AIK,-,-
Alexander Isak,15/16,AIK U17,AIK U19,-,-
Christopher Nkunku,23/24,RB Leipzig,Chelsea,€80.00m,€60.00m
Christopher Nkunku,19/20,Paris SG,RB Leipzig,€12.00m,€19.50m
Christopher Nkunku,15/16,Paris SG B,Paris SG,-,-
Christopher Nkunku,15/16,Paris SG U19,Paris SG B,-,-
Christopher Nkunku,14/15,Paris SG U17,Paris SG U19,-,-
Christopher Nkunku,11/12,PSG Youth,Paris SG U17,-,-
Frenkie de Jong,19/20,Ajax,Barcelona,€85.00m,€86.00m
Frenkie de Jong,16/17,Ajax U21,Ajax,€600k,-
Frenkie de Jong,15/16,Willem II,Ajax U21,€400k,End of loan
Frenkie de Jong,15/16,Ajax U21,Willem II,€250k,loan transfer
Frenkie de Jong,15/16,Willem II,Ajax U21,€250k,€7.74m
Frenkie de Jong,14/15,Willem II U21,Willem II,-,-
Frenkie de Jong,14/15,Willem II U19,Willem II U21,-,-
Frenkie de Jong,14/15,Willem II U17,Willem II U19,-,-
Frenkie de Jong,13/14,Willem II/RKC Y.,Willem II/RKC-17,-,-
Alessandro Bastoni,18/19,Parma,Inter,€15.00m,End of loan
Alessandro Bastoni,18/19,Inter,Parma,€2.50m,loan transfer
Alessandro Bastoni,17/18,Atalanta BC,Inter,€2.50m,End of loan
Alessandro Bastoni,17/18,Inter,Atalanta BC,€1.50m,loan transfer
Alessandro Bastoni,17/18,Atalanta BC,Inter,€1.50m,€31.10m
Alessandro Bastoni,16/17,Atalanta U19,Atalanta BC,€75k,-
Alessandro Bastoni,16/17,Atalanta U17,Atalanta U19,-,-
Alessandro Bastoni,15/16,Atalanta Youth,Atalanta U17,-,-
Trent Alexander-Arnold,16/17,Liverpool U18,Liverpool,-,-
Trent Alexander-Arnold,15/16,Liverpool Youth,Liverpool U18,-,-
James Maddison,23/24,Leicester,Tottenham,€60.00m,€46.30m
James Maddison,18/19,Norwich,Leicester,€10.00m,€25.00m
James Maddison,16/17,Aberdeen FC,Norwich,€1.50m,End of loan
James Maddison,16/17,Norwich,Aberdeen FC,€1.50m,loan transfer
James Maddison,15/16,Coventry,Norwich,€1.50m,End of loan
James Maddison,15/16,Norwich,Coventry,€500k,loan transfer
James Maddison,15/16,Coventry,Norwich,€500k,€2.65m
James Maddison,14/15,Coventry U18,Coventry,-,-
Bruno Fernandes,19/20,Sporting CP,Man Utd,€60.00m,€65.00m
Bruno Fernandes,17/18,Sampdoria,Sporting CP,€7.50m,€9.70m
Bruno Fernandes,17/18,Udinese Calcio,Sampdoria,€7.50m,€6.00m
Bruno Fernandes,16/17,Sampdoria,Udinese Calcio,€7.50m,End of loan
Bruno Fernandes,16/17,Udinese Calcio,Sampdoria,€6.50m,"Loan fee:
€1.00m"
Bruno Fernandes,13/14,Novara,Udinese Calcio,€3.50m,€2.50m
Bruno Fernandes,12/13,Boavista Y19,Novara,-,€40k
Bruno Fernandes,11/12,Boavista U17,Boavista Y19,-,-
Bruno Fernandes,09/10,Boavista U15,Boavista U17,-,-
Bruno Fernandes,07/08,Boavista CJ,Boavista U15,-,-
Bruno Fernandes,04/05,Infesta For.,Boavista CJ,-,?
Leroy Sané,20/21,Man City,Bayern Munich,€80.00m,€49.00m
Leroy Sané,16/17,FC Schalke 04,Man City,€30.00m,€52.00m
Leroy Sané,15/16,Schalke 04 U19,FC Schalke 04,€4.00m,-
Leroy Sané,13/14,Schalke 04 U17,Schalke 04 U19,-,-
Leroy Sané,11/12,Leverkusen Yth.,Schalke 04 U17,-,free transfer
Leroy Sané,08/09,Schalke 04 Yth.,Leverkusen Yth.,-,free transfer
Leroy Sané,05/06,Wattensch. Yth.,Schalke 04 Yth.,-,free transfer
Rasmus Højlund,23/24,Atalanta BC,Man Utd,€45.00m,€73.90m
Rasmus Højlund,22/23,Sturm Graz,Atalanta BC,€4.50m,€20.00m
Rasmus Højlund,21/22,FC Copenhagen,Sturm Graz,€1.00m,€1.95m
Rasmus Højlund,21/22,Copenhagen U19,FC Copenhagen,€200k,-
Rasmus Højlund,20/21,FCK Youth,Copenhagen U19,-,-
Rasmus Højlund,17/18,Bröndby Youth,FCK Youth,-,free transfer
Rasmus Højlund,12/13,Hörsholm U IK,Bröndby Youth,-,free transfer
Jérémy Doku,23/24,Stade Rennais,Man City,€28.00m,€60.00m
Jérémy Doku,20/21,RSC Anderlecht,Stade Rennais,€9.00m,€26.00m
Jérémy Doku,19/20,Anderlecht U21,RSC Anderlecht,€2.00m,-
Jérémy Doku,18/19,Anderlecht U17,Anderlecht U21,-,-
Jérémy Doku,17/18,Anderlecht Yth.,Anderlecht U17,-,-
Jérémy Doku,12/13,Beerschot Yth,Anderlecht Yth.,-,?
Lucas Paquetá,22/23,Olympique Lyon,West Ham,€35.00m,€42.95m
Lucas Paquetá,20/21,AC Milan,Olympique Lyon,€20.00m,€23.00m
Lucas Paquetá,18/19,Flamengo,AC Milan,€15.00m,€38.40m
Lucas Paquetá,16/17,Flamengo U20,Flamengo,-,-
Gabriel Magalhães,20/21,LOSC Lille,Arsenal,€20.00m,€26.00m
Gabriel Magalhães,17/18,Din. Zagreb II,LOSC Lille,€600k,End of loan
Gabriel Magalhães,17/18,LOSC Lille,Din. Zagreb II,€600k,loan transfer
Gabriel Magalhães,17/18,Troyes,LOSC Lille,€600k,End of loan
Gabriel Magalhães,17/18,LOSC Lille,Troyes,€600k,loan transfer
Gabriel Magalhães,16/17,Avaí FC,LOSC Lille,€350k,€3.00m
Gabriel Magalhães,15/16,Avaí U20,Avaí FC,-,-
Achraf Hakimi,21/22,Inter,Paris SG,€60.00m,€68.00m
Achraf Hakimi,20/21,Real Madrid,Inter,€54.00m,€43.00m
Achraf Hakimi,19/20,Bor. Dortmund,Real Madrid,€54.00m,End of loan
Achraf Hakimi,18/19,Real Madrid,Bor. Dortmund,€5.00m,loan transfer
Achraf Hakimi,17/18,RM Castilla,Real Madrid,€300k,-
Achraf Hakimi,16/17,Real Madrid U19,RM Castilla,-,-
Achraf Hakimi,15/16,Real Madrid U18,Real Madrid U19,-,-
Dušan Vlahović,21/22,Fiorentina,Juventus,€70.00m,€83.50m
Dušan Vlahović,18/19,Partizan,Fiorentina,€1.00m,€3.20m
Dušan Vlahović,15/16,Partizan U19,Partizan,€50k,-
Dušan Vlahović,15/16,Partizan U17,Partizan U19,€50k,-
Matthijs de Ligt,22/23,Juventus,Bayern Munich,€70.00m,€67.00m
Matthijs de Ligt,19/20,Ajax,Juventus,€75.00m,€85.50m
Matthijs de Ligt,16/17,Ajax U21,Ajax,€100k,-
Matthijs de Ligt,16/17,Ajax U19,Ajax U21,€100k,-
Matthijs de Ligt,15/16,Ajax U17,Ajax U19,-,-
Matthijs de Ligt,14/15,Ajax Youth,Ajax U17,-,-
Matthijs de Ligt,09/10,Abcoude Yth.,Ajax Youth,-,free transfer
Ollie Watkins,20/21,Brentford,Aston Villa,€12.00m,€34.00m
Ollie Watkins,17/18,Exeter City,Brentford,€150k,€7.22m
Ollie Watkins,14/15,Weston-super-M.,Exeter City,-,End of loan
Ollie Watkins,14/15,Exeter City,Weston-super-M.,-,loan transfer
Ollie Watkins,14/15,Exeter U18,Exeter City,-,-
Kingsley Coman,17/18,Juventus,Bayern Munich,€20.00m,€21.00m
Kingsley Coman,16/17,Bayern Munich,Juventus,€20.00m,End of loan
Kingsley Coman,15/16,Juventus,Bayern Munich,€3.50m,"Loan fee:
€7.00m"
Kingsley Coman,14/15,Paris SG,Juventus,€750k,free transfer
Kingsley Coman,13/14,Paris SG U19,Paris SG,-,-
Kingsley Coman,12/13,Paris SG U17,Paris SG U19,-,-
Kingsley Coman,11/12,PSG Youth,Paris SG U17,-,-
Jack Grealish,21/22,Aston Villa,Man City,€65.00m,€117.50m
Jack Grealish,13/14,Notts County,Aston Villa,€250k,End of loan
Jack Grealish,13/14,Aston Villa,Notts County,€150k,loan transfer
Jack Grealish,13/14,Aston Villa U21,Aston Villa,-,-
Jack Grealish,12/13,Aston Villa U18,Aston Villa U21,-,-
Jack Grealish,10/11,A. Villa Yth.,Aston Villa U18,-,-
Mohamed Salah,17/18,AS Roma,Liverpool,€35.00m,€42.00m
Mohamed Salah,16/17,Chelsea,AS Roma,€23.00m,€15.00m
Mohamed Salah,15/16,AS Roma,Chelsea,€23.00m,End of loan
Mohamed Salah,15/16,Chelsea,AS Roma,€18.00m,"Loan fee:
€5.00m"
Mohamed Salah,14/15,Fiorentina,Chelsea,€12.00m,End of loan
Mohamed Salah,14/15,Chelsea,Fiorentina,€13.00m,loan transfer
Mohamed Salah,13/14,FC Basel,Chelsea,€8.50m,€16.50m
Mohamed Salah,12/13,El Mokawloon,FC Basel,€1.50m,€2.50m
Mohamed Salah,09/10,Mokawloon U23,El Mokawloon,-,-
Warren Zaïre-Emery,22/23,Paris SG U19,Paris SG,-,-
Warren Zaïre-Emery,21/22,Paris SG U17,Paris SG U19,-,-
Warren Zaïre-Emery,20/21,PSG Youth,Paris SG U17,-,-
Evan Ferguson,22/23,Brighton U21,Brighton,€600k,-
Evan Ferguson,20/21,Bohemians,Brighton U23,-,?
Evan Ferguson,19/20,Bohs U19,Bohemians,-,-
Evan Ferguson,18/19,St. Kevins Boys,Bohs U19,-,?
Nuno Mendes,22/23,Sporting CP,Paris SG,€40.00m,€38.00m
Nuno Mendes,21/22,Paris SG,Sporting CP,€40.00m,End of loan
Nuno Mendes,21/22,Sporting CP,Paris SG,€40.00m,"Loan fee:
€7.00m"
Nuno Mendes,19/20,Sporting CP U23,Sporting CP,-,-
Nuno Mendes,19/20,Sporting U17,Sporting CP U23,-,-
Nuno Mendes,17/18,Sporting Sub-15,Sporting U17,-,-
Nuno Mendes,15/16,Sporting Yth.,Sporting Sub-15,-,-
Nuno Mendes,11/12,O Despertar Fo.,Sporting Yth.,-,?
Bremer,22/23,Torino,Juventus,€35.00m,€46.90m
Bremer,18/19,Atlético-MG,Torino,€1.00m,€5.80m
Bremer,17/18,Atlético-MG U20,Atlético-MG,€1.00m,-
Bremer,16/17,Desportivo U20,Atlético-MG U20,-,€86k
Bremer,16/17,São Paulo U20,Desportivo U20,-,End of loan
Bremer,15/16,Desportivo U20,São Paulo U20,-,loan transfer
Randal Kolo Muani,23/24,E. Frankfurt,Paris SG,€80.00m,€95.00m
Randal Kolo Muani,22/23,FC Nantes,E. Frankfurt,€16.00m,free transfer
Randal Kolo Muani,19/20,US Boulogne,FC Nantes,€300k,End of loan
Randal Kolo Muani,19/20,FC Nantes,US Boulogne,€300k,loan transfer
Randal Kolo Muani,17/18,FC Nantes B,FC Nantes,-,-
Randal Kolo Muani,16/17,FC Nantes U19,FC Nantes B,-,-
Randal Kolo Muani,15/16,US Torcy U17,FC Nantes U19,-,free transfer
