player,season,from_club,to_club,market_value,transfer_fee
Conor Gallagher,2021,Chelsea U23,Crystal Palace,15.0,loan transfer
Conor Gallagher,2020,Chelsea U23,West Brom,5.4,loan transfer
Conor Gallagher,2019,Chelsea U23,Swansea,2.0,loan transfer
Conor Gallagher,2019,Chelsea U23,Charlton,0.0,loan transfer
Eberechi Eze,2017,QPR,Wycombe,0.0,loan transfer
Brennan Johnson,2020,Nottm Forest,Lincoln City,0.0,loan transfer
Destiny Udogie,2022,Tottenham,Udinese Calcio,17.0,loan transfer
Destiny Udogie,2021,Hellas Verona,Udinese Calcio,1.0,loan transfer
Pedro Porro,2022,Sporting CP,Tottenham,25.0,loan transfer
Pedro Porro,2020,Man City,Sporting CP,9.0,loan transfer
Pedro Porro,2019,Man City,Real Valladolid,10.0,loan transfer
Kaoru Mitoma,2021,Brighton,Union SG,1.8,loan transfer
Kaoru Mitoma,2018,Tsukuba Univ.,Kawasaki Front.,0.05,loan transfer
Kaoru Mitoma,2018,Tsukuba Univ.,Kawasaki Front.,0.0,loan transfer
Kaoru Mitoma,2017,Tsukuba Univ.,Kawasaki Front.,0.0,loan transfer
Vitinha,2020,FC Porto,Wolves,5.0,loan transfer
Vitinha,2015,FC Porto U17,Padroense U17,0.0,loan transfer
Lisandro Martínez,2017,Newell's II,Defensa,0.0,loan transfer
Pau Torres,2018,Villarreal,Málaga CF,0.5,loan transfer
Sven Botman,2019,Ajax U21,Heerenveen,0.3,loan transfer
Serge Gnabry,2017,Bayern Munich,TSG Hoffenheim,15.0,loan transfer
Serge Gnabry,2015,Arsenal,West Brom,3.5,loan transfer
Matheus Cunha,2022,Atlético Madrid,Wolves,20.0,loan transfer
Jacob Ramsey,2019,Aston Villa U23,Doncaster,0.0,loan transfer
Joelinton,2016,TSG Hoffenheim,Rapid Vienna,1.25,loan transfer
Samu Omorodion,2023,Atlético Madrid,Alavés,0.2,loan transfer
Ousmane Diomande,2022,FC Midtjylland,Mafra,0.0,loan transfer
Sávio,2023,Troyes,Girona,5.0,loan transfer
Sávio,2022,Troyes,PSV Eindhoven,6.0,loan transfer
Benjamin Sesko,2019,RB Salzburg,FC Liefering,0.0,loan transfer
Pape Matar Sarr,2021,Tottenham,FC Metz,10.0,loan transfer
Joshua Zirkzee,2021,Bayern Munich,RSC Anderlecht,8.0,loan transfer
Joshua Zirkzee,2020,Bayern Munich,Parma,9.0,loan transfer
Morgan Gibbs-White,2021,Wolves,Sheff Utd,7.0,loan transfer
Morgan Gibbs-White,2020,Wolves,Swansea,7.2,loan transfer
Sandro Tonali,2020,Brescia,AC Milan,32.0,loan transfer
Mason Mount,2018,Chelsea U23,Derby,4.0,loan transfer
Mason Mount,2017,Chelsea U23,Vitesse,0.4,loan transfer
Federico Chiesa,2020,Fiorentina,Juventus,48.0,loan transfer
Fikayo Tomori,2020,Chelsea,AC Milan,17.0,loan transfer
Fikayo Tomori,2018,Chelsea,Derby,1.0,loan transfer
Fikayo Tomori,2017,Chelsea,Hull City,0.25,loan transfer
Fikayo Tomori,2016,Chelsea U23,Brighton,0.0,loan transfer
Serhou Guirassy,2022,Stade Rennais,VfB Stuttgart,10.0,loan transfer
Serhou Guirassy,2018,1.FC Köln,Amiens SC,2.0,loan transfer
Serhou Guirassy,2015,LOSC Lille,AJ Auxerre,0.5,loan transfer
