player,season,from_club,to_club,market_value,transfer_fee
Dominic Calvert-Lewin,2014,Sheff Utd,Stalybridge,0.0,loan transfer
Saïd Benrahma,2023,West Ham,Olympique Lyon,22.0,loan transfer
Saïd Benrahma,2020,Brentford,West Ham,22.0,loan transfer
Saïd Benrahma,2017,OGC Nice,LB Châteauroux,1.0,loan transfer
Saïd Benrahma,2016,OGC Nice,G. Ajaccio,0.8,loan transfer
Saïd Benrahma,2015,OGC Nice,Angers SCO,0.25,loan transfer
Orel Mangala,2023,Nottm Forest,Olympique Lyon,22.0,loan transfer
Orel Mangala,2018,VfB Stuttgart,Hamburger SV,1.8,loan transfer
Orel Mangala,2016,Anderlecht U21,B. Dortmund U19,0.0,loan transfer
Sofyan Amrabat,2023,Fiorentina,Man Utd,30.0,loan transfer
Sofyan Amrabat,2019,Fiorentina,Hellas Verona,10.0,loan transfer
Sofyan Amrabat,2019,Club Brugge,Hellas Verona,3.0,loan transfer
Mattia Zaccagni,2021,Hellas Verona,Lazio,15.0,loan transfer
Mattia Zaccagni,2015,Hellas Verona,Cittadella,0.3,loan transfer
Mattia Zaccagni,2014,Hellas Verona,Unione Venezia,0.075,loan transfer
Mattia Zaccagni,2013,Bellaria IM,Verona U19,0.075,loan transfer
Vitaly Janelt,2016,RB Leipzig,VfL Bochum,0.125,loan transfer
Patrik Schick,2019,AS Roma,RB Leipzig,15.0,loan transfer
Patrik Schick,2017,Sampdoria,AS Roma,15.0,loan transfer
Patrik Schick,2015,Sparta Prague,Bohemians 1905,0.2,loan transfer
Jordan Pickford,2015,Sunderland,Preston,0.25,loan transfer
Jordan Pickford,2014,Sunderland,Bradford,0.25,loan transfer
Jordan Pickford,2013,Sunderland,Carlisle United,0.25,loan transfer
Jordan Pickford,2013,Sunderland,Burton Albion,0.15,loan transfer
Jordan Pickford,2012,Sunderland U21,Alfreton,0.0,loan transfer
Jordan Pickford,2011,Sunderland U18,Darlington,0.0,loan transfer
Carlos Augusto,2023,Monza,Inter,15.0,loan transfer
Arnaud Kalimuendo,2021,Paris SG,Lens,10.0,loan transfer
Arnaud Kalimuendo,2020,Paris SG,Lens,1.0,loan transfer
Amar Dedic,2021,RB Salzburg,Wolfsberger AC,0.9,loan transfer
Giovanni Reyna,2023,Bor. Dortmund,Nottm Forest,20.0,loan transfer
Renan Lodi,2022,Atlético Madrid,Nottm Forest,30.0,loan transfer
Samuele Ricci,2021,FC Empoli,Torino,12.0,loan transfer
Jørgen Strand Larsen,2017,Sarpsborg 08,Milan U19,0.05,loan transfer
Caio Henrique,2019,Atlético Madrid,Grêmio,1.5,loan transfer
Caio Henrique,2018,Atlético Madrid,Fluminense,0.8,loan transfer
Caio Henrique,2017,Atl. Madrid B,Paraná,0.3,loan transfer
Dodô,2018,Shakhtar D.,Vit. Guimarães,2.0,loan transfer
Marcus Tavernier,2017,Boro U21,MK Dons,0.0,loan transfer
Nicolò Zaniolo,2023,Galatasaray,Aston Villa,27.0,loan transfer
Yangel Herrera,2022,Man City,Girona,14.0,loan transfer
Yangel Herrera,2021,Man City,Espanyol,18.0,loan transfer
Yangel Herrera,2019,Man City,Granada CF,2.0,loan transfer
Yangel Herrera,2018,Man City,SD Huesca,1.0,loan transfer
Yangel Herrera,2016,Man City,New York City,0.9,loan transfer
Yangel Herrera,2014,Atl. Venez. B,Monagas SC,0.0,loan transfer
Arthur Theate,2021,KV Oostende,Bologna,5.0,loan transfer
Florentino,2021,Benfica,Getafe,10.0,loan transfer
Florentino,2020,Benfica,Monaco,18.0,loan transfer
Antonee Robinson,2018,Everton U23,Wigan,0.5,loan transfer
Antonee Robinson,2017,Everton U23,Bolton,0.0,loan transfer
Odsonne Edouard,2017,Paris SG,Celtic,1.5,loan transfer
Odsonne Edouard,2016,Paris SG,Toulouse,0.25,loan transfer
Kyle Walker-Peters,2019,Tottenham,Southampton,10.0,loan transfer
Noa Lang,2020,Ajax,Club Brugge,3.5,loan transfer
Noa Lang,2019,Ajax,Twente FC,3.0,loan transfer
Sebastian Szymanski,2022,Dynamo Moscow,Feyenoord,14.0,loan transfer
Marco Asensio,2015,Real Madrid,Espanyol,3.5,loan transfer
Éderson,2021,Corinthians,Fortaleza,5.0,loan transfer
Danilo,2019,PFC Cajazeiras,Palmeiras U20,0.0,loan transfer
Jack Harrison,2019,Man City,Leeds,15.0,loan transfer
Yangel Herrera,2017,Man City,New York City,1.0,loan transfer
