player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter,age
Gonçalo Ramos,50.0,Centre Forward,,Portugal,2001-06-20,Olhão  ,Portugal,185,Paris Saint-Germain,2028-06-30,-,,9,right,Nike,23
Mohammed Kudus,50.0,Attacking Midfield,"Centre-Forward, Right Winger",Ghana,2000-08-02,Accra  ,Ghana,177,West Ham United,2028-06-30,-,,14,left,Puma,24
Jonathan David,50.0,Centre Forward,"Second Striker, Attacking Midfield",Canada,2000-01-14,"Brooklyn, New York  ",United States,180,LOSC Lille,2025-06-30,-,,9,both,adidas,24
Anthony Gordon,50.0,Left Winger,"Right Winger, Centre-Forward",England,2001-02-24,Liverpool  ,England,182,Newcastle United,2026-06-30,-,,10,right,adidas,23
Amadou Onana,50.0,Defensive Midfield,Central Midfield,Belgium,2001-08-16,Dakar  ,Senegal,195,Everton FC,2027-06-30,-,,8,right,,23
Jeremie Frimpong,50.0,Right Midfield,"Right-Back, Right Winger",Netherlands,2000-12-10,Amsterdam  ,Netherlands,172,Bayer 04 Leverkusen,2028-06-30,-,,30,right,Puma,24
Reece James,50.0,Right Back,"Centre-Back, Right Midfield",England,1999-12-08,London  ,England,180,Chelsea FC,2028-06-30,-,,24,right,Nike,25
Cody Gakpo,50.0,Left Winger,"Centre-Forward, Right Winger",Netherlands,1999-05-07,Eindhoven  ,Netherlands,193,Liverpool FC,2028-06-30,-,,18,right,Puma,25
Martín Zubimendi,50.0,Defensive Midfield,Central Midfield,Spain,1999-02-02,Donostia-San Sebastián  ,Spain,181,Real Sociedad,2027-06-30,-,,4,right,,25
Jules Koundé,50.0,Centre Back,Right-Back,France,1998-11-12,Paris  ,France,180,FC Barcelona,2027-06-30,-,,23,right,adidas,26
Raphinha,50.0,Right Winger,Left Winger,Brazil,1996-12-14,Porto Alegre  ,Brazil,176,FC Barcelona,2027-06-30,-,,11,left,adidas,28
