player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter
Gianluca Scamacca,€25.00m,Centre-Forward,[],Italy,"Jan 1, 1999 (25)",Roma  ,Italy,"1,95 m",Atalanta BC,30-Jun-27,-,-,#90,right,Nike
Marcus Edwards,€25.00m,Right Winger,"['Attacking Midfield', 'Left Winger']",England,"Dec 3, 1998 (25)",London  ,England,"1,68 m",Sporting CP,30-Jun-26,-,-,#10,left,
Hee-chan Hwang,€25.00m,Centre-Forward,"['Left Winger', 'Right Winger']",South Korea,"Jan 26, 1996 (28)","Chuncheon, Gangwon  ","Korea, South","1,77 m",Wolverhampton Wanderers,30-Jun-28,-,-,#11,right,
Lorenzo Pellegrini,€25.00m,Attacking Midfield,"['Central Midfield', 'Defensive Midfield']",Italy,"Jun 19, 1996 (27)",Roma  ,Italy,"1,86 m",AS Roma,30-Jun-26,-,-,#7,right,Nike
Marc Cucurella,€25.00m,Left-Back,"['Left Midfield', 'Centre-Back']",Spain,"Jul 22, 1998 (25)",Alella  ,Spain,"1,73 m",Chelsea FC,30-Jun-28,-,-,#3,left,Puma
Mario Hermoso,€25.00m,Centre-Back,['Left-Back'],Spain,"Jun 18, 1995 (28)",Madrid  ,Spain,"1,84 m",Atlético de Madrid,30-Jun-24,-,-,#22,left,
Chris Führich,€25.00m,Left Winger,"['Right Winger', 'Second Striker']",Germany,"Jan 9, 1998 (26)",Castrop-Rauxel  ,Germany,"1,81 m",VfB Stuttgart,30-Jun-28,-,-,#27,right,
Kevin Danso,€25.00m,Centre-Back,[],Austria,"Sep 19, 1998 (25)",Voitsberg  ,Austria,"1,90 m",RC Lens,30-Jun-27,-,-,#4,right,Puma
Unai Simón,€25.00m,Goalkeeper,[],Spain,"Jun 11, 1997 (26)",Vitoria-Gasteiz  ,Spain,"1,90 m",Athletic Bilbao,30-Jun-25,-,-,#1,right,
Aleix García,€25.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Spain,"Jun 28, 1997 (26)",Ulldecona  ,Spain,"1,73 m",Girona FC,30-Jun-26,-,-,#14,right,
Joe Gomez,€25.00m,Centre-Back,"['Right-Back', 'Left-Back']",England,"May 23, 1997 (26)",London  ,England,"1,88 m",Liverpool FC,30-Jun-27,-,-,#2,right,Nike
Iñaki Williams,€25.00m,Right Winger,"['Centre-Forward', 'Left Winger']",Ghana,"Jun 15, 1994 (29)",Bilbao  ,Spain,"1,86 m",Athletic Bilbao,30-Jun-28,-,-,#9,right,Nike
José María Giménez,€25.00m,Centre-Back,"['Right-Back', 'Defensive Midfield']",Uruguay,"Jan 20, 1995 (29)",Toledo  ,Uruguay,"1,85 m",Atlético de Madrid,30-Jun-28,-,-,#2,right,Puma
Youri Tielemans,€25.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Belgium,"May 7, 1997 (26)",Sint-Pieters-Leeuw  ,Belgium,"1,77 m",Aston Villa,30-Jun-27,-,-,#8,right,Nike
Álex Remiro,€25.00m,Goalkeeper,[],Spain,"Mar 24, 1995 (29)",Cascante  ,Spain,"1,91 m",Real Sociedad,30-Jun-27,-,-,#1,right,
Paulo Dybala,€25.00m,Second Striker,"['Centre-Forward', 'Right Winger']",Argentina,"Nov 15, 1993 (30)",Laguna Larga  ,Argentina,"1,77 m",AS Roma,30-Jun-25,-,-,#21,left,adidas
Ruben Loftus-Cheek,€25.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",England,"Jan 23, 1996 (28)",London  ,England,"1,91 m",AC Milan,30-Jun-27,-,-,#8,right,adidas
Piotr Zieliński,€25.00m,Central Midfield,"['Attacking Midfield', 'Left Midfield']",Poland,"May 20, 1994 (29)",Ząbkowice Śląskie  ,Poland,"1,80 m",SSC Napoli,30-Jun-24,-,-,#20,both,Nike
Aymeric Laporte,€25.00m,Centre-Back,[],Spain,"May 27, 1994 (29)",Agen  ,France,"1,91 m",Al-Nassr FC,30-Jun-26,-,-,#27,left,adidas
Raphaël Varane,€25.00m,Centre-Back,[],France,"Apr 25, 1993 (30)",Lille  ,France,"1,91 m",Manchester United,30-Jun-24,-,-,#19,right,Puma
Kurt Zouma,€25.00m,Centre-Back,['Right-Back'],France,"Oct 27, 1994 (29)",Lyon  ,France,"1,90 m",West Ham United,30-Jun-25,-,-,#4,right,
Antoine Griezmann,€25.00m,Centre-Forward,"['Second Striker', 'Left Winger']",France,"Mar 21, 1991 (33)",Mâcon  ,France,"1,76 m",Atlético de Madrid,30-Jun-26,-,-,#7,left,Puma
Marco Verratti,€25.00m,Central Midfield,['Defensive Midfield'],Italy,"Nov 5, 1992 (31)",Pescara  ,Italy,"1,65 m",Al-Arabi SC,30-Jun-25,-,-,#7,right,Nike
Antonio Rüdiger,€25.00m,Centre-Back,['Right-Back'],Germany,"Mar 3, 1993 (31)",Berlin  ,Germany,"1,90 m",Real Madrid,30-Jun-26,-,-,#22,right,Under Armour
David Alaba,€25.00m,Centre-Back,"['Left-Back', 'Central Midfield']",Austria,"Jun 24, 1992 (31)",Wien  ,Austria,"1,80 m",Real Madrid,30-Jun-26,-,-,#4,left,adidas
Maximilian Beier,€24.00m,Centre-Forward,"['Right Winger', 'Left Winger']",Germany,"Oct 17, 2002 (21)",Brandenburg an der Havel  ,Germany,"1,85 m",TSG 1899 Hoffenheim,30-Jun-27,-,-,#14,right,
Lewis Ferguson,€24.00m,Attacking Midfield,['Central Midfield'],Scotland,"Aug 24, 1999 (24)",Hamilton  ,Scotland,"1,81 m",Bologna FC 1909,30-Jun-27,-,-,#19,right,
Eljif Elmas,€24.00m,Attacking Midfield,"['Left Winger', 'Central Midfield']",North Macedonia,"Sep 24, 1999 (24)",Skopje  ,Macedonia,"1,84 m",RB Leipzig,30-Jun-28,-,-,#6,right,
Evan Ndicka,€24.00m,Centre-Back,[],Ivory Coast,"Aug 20, 1999 (24)",Paris  ,France,"1,92 m",AS Roma,30-Jun-28,-,-,#5,left,
Jerdy Schouten,€24.00m,Defensive Midfield,"['Centre-Back', 'Central Midfield']",Netherlands,"Jan 12, 1997 (27)",Spijkenisse  ,Netherlands,"1,85 m",PSV Eindhoven,30-Jun-28,-,-,#22,right,
Guido Rodríguez,€24.00m,Defensive Midfield,['Central Midfield'],Argentina,"Apr 12, 1994 (30)",Sáenz Peña  ,Argentina,"1,85 m",Real Betis Balompié,30-Jun-24,-,-,#5,right,
Quilindschy Hartman,€23.00m,Left-Back,[],Netherlands,"Nov 14, 2001 (22)",Zwijndrecht  ,Netherlands,"1,83 m",Feyenoord Rotterdam,30-Jun-26,-,-,#5,left,Puma
Yunus Musah,€23.00m,Central Midfield,"['Attacking Midfield', 'Right Midfield']",USA,"Nov 29, 2002 (21)","New York City, New York  ",United States,"1,78 m",AC Milan,30-Jun-28,-,-,#80,right,Puma
Tijjani Reijnders,€23.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Netherlands,"Jul 29, 1998 (25)",Zwolle  ,Netherlands,"1,85 m",AC Milan,30-Jun-28,-,-,#14,right,Mizuno
Nathan Tella,€23.00m,Right Winger,"['Left Winger', 'Right Midfield']",Nigeria,"Jul 5, 1999 (24)",Stevenage  ,England,"1,73 m",Bayer 04 Leverkusen,30-Jun-28,-,-,#19,right,
Lewis Miley,€22.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",England,"May 1, 2006 (17)",Stanley  ,England,"1,89 m",Newcastle United,30-Jun-29,-,-,#67,right,
Jorrel Hato,€22.00m,Centre-Back,['Left-Back'],Netherlands,"Mar 7, 2006 (18)",Rotterdam  ,Netherlands,"1,82 m",Ajax Amsterdam,30-Jun-28,-,-,#4,left,
Tyrick Mitchell,€22.00m,Left-Back,['Left Midfield'],England,"Sep 1, 1999 (24)",London  ,England,"1,75 m",Crystal Palace,30-Jun-25,-,-,#3,left,
Julio Enciso,€22.00m,Attacking Midfield,"['Centre-Forward', 'Left Winger']",Paraguay,"Jan 23, 2004 (20)",Caaguazú  ,Paraguay,"1,73 m",Brighton & Hove Albion,30-Jun-26,-,-,#10,right,adidas
Beto,€22.00m,Centre-Forward,[],Portugal,"Jan 31, 1998 (26)",Lisboa  ,Portugal,"1,94 m",Everton FC,30-Jun-27,-,-,#14,right,
Anthony Elanga,€22.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Sweden,"Apr 27, 2002 (21)",Hyllie  ,Sweden,"1,78 m",Nottingham Forest,30-Jun-28,-,-,#21,right,Nike
Kang-in Lee,€22.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",South Korea,"Feb 19, 2001 (23)",Incheon  ,"Korea, South","1,73 m",Paris Saint-Germain,30-Jun-28,-,-,#19,left,adidas
James Garner,€22.00m,Defensive Midfield,"['Central Midfield', 'Right-Back']",England,"Mar 13, 2001 (23)",Birkenhead  ,England,"1,82 m",Everton FC,30-Jun-26,-,-,#37,right,
Taylor Harwood-Bellis,€22.00m,Centre-Back,[],England,"Jan 30, 2002 (22)",Stockport  ,England,"1,88 m",Southampton FC,31-May-24,Manchester City,30-Jun-25,#21,right,
Wendel,€22.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Brazil,"Aug 28, 1997 (26)",Duque de Caxias  ,Brazil,"1,80 m",Zenit St. Petersburg,30-Jun-27,-,-,#8,right,Nike
Sacha Boey,€22.00m,Right-Back,[],France,"Sep 13, 2000 (23)",Montreuil  ,France,"1,78 m",Bayern Munich,30-Jun-28,-,-,#23,right,Nike
Lucas Chevalier,€22.00m,Goalkeeper,[],France,"Nov 6, 2001 (22)",Calais  ,France,"1,89 m",LOSC Lille,30-Jun-27,-,-,#30,right,adidas
Omar Marmoush,€22.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Egypt,"Feb 7, 1999 (25)",Kairo  ,Egypt,"1,83 m",Eintracht Frankfurt,30-Jun-27,-,-,#7,right,Nike
Pedro,€22.00m,Centre-Forward,[],Brazil,"Jun 20, 1997 (26)",Rio de Janeiro  ,Brazil,"1,85 m",CR Flamengo,31-Dec-27,-,-,#9,right,adidas
Quinten Timber,€22.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Netherlands,"Jun 17, 2001 (22)",Utrecht  ,Netherlands,"1,79 m",Feyenoord Rotterdam,30-Jun-26,-,-,#8,right,adidas
Jack Harrison,€22.00m,Right Winger,['Left Winger'],England,"Nov 20, 1996 (27)",Stoke-on-Trent  ,England,"1,75 m",Everton FC,31-May-24,Leeds United,30-Jun-28,#11,left,
Angel Gomes,€22.00m,Attacking Midfield,"['Central Midfield', 'Defensive Midfield']",England,"Aug 31, 2000 (23)",London  ,England,"1,68 m",LOSC Lille,30-Jun-25,-,-,#8,right,Nike
Sergiño Dest,€22.00m,Left-Back,['Right-Back'],USA,"Nov 3, 2000 (23)",Almere  ,Netherlands,"1,73 m",PSV Eindhoven,30-Jun-24,FC Barcelona,30-Jun-25,#8,right,
Igor Zubeldia,€22.00m,Centre-Back,"['Central Midfield', 'Defensive Midfield']",Spain,"Mar 30, 1997 (27)",Azkoitia  ,Spain,"1,81 m",Real Sociedad,30-Jun-29,-,-,#5,right,
Deniz Undav,€22.00m,Centre-Forward,"['Second Striker', 'Attacking Midfield']",Germany,"Jul 19, 1996 (27)",Varel  ,Germany,"1,79 m",VfB Stuttgart,30-Jun-24,Brighton & Hove Albion,30-Jun-26,#26,right,
Konstantinos Tsimikas,€22.00m,Left-Back,[],Greece,"May 12, 1996 (27)",Thessaloniki  ,Greece,"1,79 m",Liverpool FC,30-Jun-27,-,-,#21,left,adidas
Vangelis Pavlidis,€22.00m,Centre-Forward,"['Left Winger', 'Second Striker']",Greece,"Nov 21, 1998 (25)",Thessaloniki  ,Greece,"1,86 m",AZ Alkmaar,30-Jun-25,-,-,#9,both,adidas
Emiliano Buendía,€22.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",Argentina,"Dec 25, 1996 (27)",Mar del Plata  ,Argentina,"1,72 m",Aston Villa,30-Jun-26,-,-,#10,right,
Philip Billing,€22.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Denmark,"Jun 11, 1996 (27)",Copenhagen  ,Denmark,"1,93 m",AFC Bournemouth,30-Jun-27,-,-,#29,left,adidas
Dominic Calvert-Lewin,€22.00m,Centre-Forward,"['Second Striker', 'Left Winger']",England,"Mar 16, 1997 (27)",Sheffield  ,England,"1,89 m",Everton FC,30-Jun-25,-,-,#9,right,Nike
Albert Gudmundsson,€22.00m,Second Striker,"['Left Winger', 'Right Winger']",Iceland,"Jun 15, 1997 (26)",Reykjavík  ,Iceland,"1,77 m",Genoa CFC,30-Jun-27,-,-,#11,right,
Saïd Benrahma,€22.00m,Left Winger,"['Right Winger', 'Attacking Midfield']",Algeria,"Aug 10, 1995 (28)",Aïn Témouchent  ,Algeria,"1,72 m",Olympique Lyon,30-Jun-24,West Ham United,30-Jun-26,#17,right,
Orel Mangala,€22.00m,Central Midfield,['Defensive Midfield'],Belgium,"Mar 18, 1998 (26)",Brüssel  ,Belgium,"1,78 m",Olympique Lyon,30-Jun-24,Nottingham Forest,30-Jun-26,#25,right,adidas
Sofyan Amrabat,€22.00m,Defensive Midfield,"['Central Midfield', 'Left-Back']",Morocco,"Aug 21, 1996 (27)",Huizen  ,Netherlands,"1,85 m",Manchester United,30-Jun-24,ACF Fiorentina,30-Jun-25,#4,right,Nike
Mattia Zaccagni,€22.00m,Left Winger,"['Attacking Midfield', 'Central Midfield']",Italy,"Jun 16, 1995 (28)",Cesena  ,Italy,"1,77 m",SS Lazio,30-Jun-29,-,-,#20,right,
Issa Diop,€22.00m,Centre-Back,[],France,"Jan 9, 1997 (27)",Toulouse  ,France,"1,94 m",Fulham FC,30-Jun-27,-,-,#31,right,adidas
Vitaly Janelt,€22.00m,Defensive Midfield,"['Central Midfield', 'Left-Back']",Germany,"May 10, 1998 (25)",Hamburg  ,Germany,"1,84 m",Brentford FC,30-Jun-26,-,-,#27,left,
Patrik Schick,€22.00m,Centre-Forward,"['Right Winger', 'Second Striker']",Czechia,"Jan 24, 1996 (28)",Praha  ,Czech Republic,"1,91 m",Bayer 04 Leverkusen,30-Jun-27,-,-,#14,left,
Solly March,€22.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",England,"Jul 20, 1994 (29)",Eastbourne  ,England,"1,80 m",Brighton & Hove Albion,30-Jun-26,-,-,#7,left,
Niklas Süle,€22.00m,Centre-Back,['Right-Back'],Germany,"Sep 3, 1995 (28)",Frankfurt am Main  ,Germany,"1,95 m",Borussia Dortmund,30-Jun-26,-,-,#25,right,Nike
Jordan Pickford,€22.00m,Goalkeeper,[],England,"Mar 7, 1994 (30)",Washington  ,England,"1,85 m",Everton FC,30-Jun-27,-,-,#1,left,Puma
Carlos Baleba,€20.00m,Defensive Midfield,['Central Midfield'],Cameroon,"Jan 3, 2004 (20)",Douala  ,Cameroon,"1,79 m",Brighton & Hove Albion,30-Jun-28,-,-,#20,left,Puma
Oscar Gloukh,€20.00m,Attacking Midfield,['Central Midfield'],Israel,"Apr 1, 2004 (20)",Rehovot  ,Israel,"1,70 m",Red Bull Salzburg,30-Jun-27,-,-,#30,both,
Désiré Doué,€20.00m,Attacking Midfield,"['Central Midfield', 'Left Winger']",France,"Jun 3, 2005 (18)",Angers  ,France,"1,81 m",Stade Rennais FC,30-Jun-26,-,-,#33,both,
Lucas Beraldo,€20.00m,Centre-Back,['Left-Back'],Brazil,"Nov 24, 2003 (20)",Piracicaba  ,Brazil,"1,82 m",Paris Saint-Germain,30-Jun-28,-,-,#35,left,Nike
Alex Scott,€20.00m,Central Midfield,"['Attacking Midfield', 'Right Midfield']",England,"Aug 21, 2003 (20)",Guernsey  ,Guernsey,"1,78 m",AFC Bournemouth,-,-,-,#14,right,
Javi Guerra,€20.00m,Central Midfield,['Defensive Midfield'],Spain,"May 13, 2003 (20)",Valencia  ,Spain,"1,87 m",Valencia CF,30-Jun-27,-,-,#8,right,adidas
Dango Ouattara,€20.00m,Right Winger,['Left Winger'],Burkina Faso,"Feb 11, 2002 (22)",Ouagadougou  ,Burkina Faso,"1,77 m",AFC Bournemouth,30-Jun-28,-,-,#11,left,
Vanderson,€20.00m,Right-Back,"['Right Midfield', 'Right Winger']",Brazil,"Jun 21, 2001 (22)",Rondonópolis  ,Brazil,"1,73 m",AS Monaco,30-Jun-28,-,-,#2,right,
Adam Wharton,€20.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",England,"Feb 6, 2004 (20)",Blackburn  ,England,"1,82 m",Crystal Palace,30-Jun-29,-,-,#20,left,
Milos Kerkez,€20.00m,Left-Back,['Left Midfield'],Hungary,"Nov 7, 2003 (20)",Vrbas  ,Serbia and Montenegro,"1,80 m",AFC Bournemouth,-,-,-,#3,left,
El Bilal Touré,€20.00m,Centre-Forward,['Right Winger'],Mali,"Oct 3, 2001 (22)",Adjamé  ,Cote d'Ivoire,"1,85 m",Atalanta BC,30-Jun-27,-,-,#10,both,
Wilfried Singo,€20.00m,Right-Back,"['Centre-Back', 'Right Midfield']",Ivory Coast,"Dec 25, 2000 (23)",Grand-Béréby  ,Cote d'Ivoire,"1,90 m",AS Monaco,30-Jun-28,-,-,#99,right,
Enzo Le Fée,€20.00m,Attacking Midfield,"['Central Midfield', 'Left Midfield']",France,"Feb 3, 2000 (24)",Lorient  ,France,"1,73 m",Stade Rennais FC,30-Jun-28,-,-,#28,right,
Ander Barrenetxea,€20.00m,Left Winger,"['Right Winger', 'Right-Back']",Spain,"Dec 27, 2001 (22)",Donostia-San Sebastián  ,Spain,"1,75 m",Real Sociedad,30-Jun-30,-,-,#7,right,
Carlos Augusto,€20.00m,Left Midfield,"['Left-Back', 'Centre-Back']",Brazil,"Jan 7, 1999 (25)",Campinas  ,Brazil,"1,84 m",Inter Milan,30-Jun-28,AC Monza,30-Jun-25,#30,left,
Arnaud Kalimuendo,€20.00m,Centre-Forward,[],France,"Jan 20, 2002 (22)",Suresnes  ,France,"1,78 m",Stade Rennais FC,30-Jun-27,-,-,#9,right,adidas
Dwight McNeil,€20.00m,Left Winger,"['Left Midfield', 'Right Winger']",England,"Nov 22, 1999 (24)",Rochdale  ,England,"1,83 m",Everton FC,30-Jun-27,-,-,#7,left,
Lazar Samardžić,€20.00m,Central Midfield,['Attacking Midfield'],Serbia,"Feb 24, 2002 (22)",Berlin  ,Germany,"1,84 m",Udinese Calcio,30-Jun-26,-,-,#24,left,adidas
Miguel Gutiérrez,€20.00m,Left-Back,['Left Midfield'],Spain,"Jul 27, 2001 (22)",Madrid  ,Spain,"1,80 m",Girona FC,30-Jun-27,-,-,#3,left,
Amar Dedic,€20.00m,Right-Back,"['Left-Back', 'Centre-Back']",Bosnia,"Aug 18, 2002 (21)",Zell am See  ,Austria,"1,80 m",Red Bull Salzburg,30-Jun-27,-,-,#70,right,
Giovanni Reyna,€20.00m,Attacking Midfield,"['Right Winger', 'Left Winger']",USA,"Nov 13, 2002 (21)",Durham  ,England,"1,85 m",Nottingham Forest,30-Jun-24,Borussia Dortmund,30-Jun-26,#20,right,adidas
Aaron Wan-Bissaka,€20.00m,Right-Back,[],England,"Nov 26, 1997 (26)",London  ,England,"1,83 m",Manchester United,30-Jun-25,-,-,#29,right,adidas
Renan Lodi,€20.00m,Left-Back,['Left Midfield'],Brazil,"Apr 8, 1998 (26)",Serrana  ,Brazil,"1,73 m",Al-Hilal SFC,30-Jun-27,-,-,#6,left,
Marcos Senesi,€20.00m,Centre-Back,[],Argentina,"May 10, 1997 (26)",Concordia  ,Argentina,"1,85 m",AFC Bournemouth,30-Jun-26,-,-,#25,left,
Samuele Ricci,€20.00m,Defensive Midfield,['Central Midfield'],Italy,"Aug 21, 2001 (22)",Pontedera  ,Italy,"1,81 m",Torino FC,30-Jun-26,-,-,#28,right,
Maxence Lacroix,€20.00m,Centre-Back,"['Sweeper', 'Right-Back']",France,"Apr 6, 2000 (24)",Villeneuve-Saint-Georges  ,France,"1,90 m",VfL Wolfsburg,30-Jun-25,-,-,#4,right,
Jørgen Strand Larsen,€20.00m,Centre-Forward,"['Right Winger', 'Left Winger']",Norway,"Feb 6, 2000 (24)",Halden  ,Norway,"1,93 m",Celta de Vigo,30-Jun-28,-,-,#18,right,
Caio Henrique,€20.00m,Left-Back,"['Attacking Midfield', 'Left Midfield']",Brazil,"Jul 31, 1997 (26)",Santos  ,Brazil,"1,78 m",AS Monaco,30-Jun-27,-,-,#12,left,
Ismaïla Sarr,€20.00m,Right Winger,"['Centre-Forward', 'Left Winger']",Senegal,"Feb 25, 1998 (26)",Saint-Louis  ,Senegal,"1,85 m",Olympique Marseille,30-Jun-28,-,-,#23,right,
Samuel Chukwueze,€20.00m,Right Winger,['Left Winger'],Nigeria,"May 22, 1999 (24)",Umahaia  ,Nigeria,"1,72 m",AC Milan,30-Jun-28,-,-,#21,left,
Dodô,€20.00m,Right-Back,[],Brazil,"Nov 17, 1998 (25)",Taubaté  ,Brazil,"1,66 m",ACF Fiorentina,30-Jun-27,-,-,#2,right,adidas
Marcus Tavernier,€20.00m,Left Winger,"['Right Winger', 'Attacking Midfield']",England,"Mar 22, 1999 (25)",Leeds  ,England,"1,78 m",AFC Bournemouth,30-Jun-28,-,-,#16,left,
Maxence Caqueret,€20.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",France,"Feb 15, 2000 (24)",Vénissieux  ,France,"1,74 m",Olympique Lyon,30-Jun-27,-,-,#6,right,adidas
Nicolò Zaniolo,€20.00m,Attacking Midfield,"['Right Winger', 'Second Striker']",Italy,"Jul 2, 1999 (24)",Massa  ,Italy,"1,90 m",Aston Villa,30-Jun-24,Galatasaray,30-Jun-27,#22,left,adidas
Jonas Wind,€20.00m,Centre-Forward,['Second Striker'],Denmark,"Feb 7, 1999 (25)",Hvidovre  ,Denmark,"1,90 m",VfL Wolfsburg,30-Jun-26,-,-,#23,right,
Yangel Herrera,€20.00m,Central Midfield,['Defensive Midfield'],Venezuela,"Jan 7, 1998 (26)","La Guaira, Vargas  ",Venezuela,"1,84 m",Girona FC,30-Jun-27,-,-,#21,right,adidas
Carlos Soler,€20.00m,Central Midfield,"['Right Midfield', 'Attacking Midfield']",Spain,"Jan 2, 1997 (27)",Valencia  ,Spain,"1,80 m",Paris Saint-Germain,30-Jun-27,-,-,#28,right,adidas
Ferdi Kadıoğlu,€20.00m,Left-Back,"['Right-Back', 'Central Midfield']",Türkiye,"Oct 7, 1999 (24)",Arnhem  ,Netherlands,"1,74 m",Fenerbahce,30-Jun-26,-,-,#7,right,
Arthur Theate,€20.00m,Centre-Back,['Left-Back'],Belgium,"May 25, 2000 (23)",Liège  ,Belgium,"1,85 m",Stade Rennais FC,30-Jun-27,-,-,#5,left,
Florentino,€20.00m,Defensive Midfield,[],Portugal,"Aug 19, 1999 (24)",Lobito  ,Angola,"1,84 m",SL Benfica,30-Jun-27,-,-,#61,right,adidas
Antonee Robinson,€20.00m,Left-Back,['Left Midfield'],USA,"Aug 8, 1997 (26)",Milton Keynes  ,England,"1,83 m",Fulham FC,30-Jun-28,-,-,#33,left,
Noah Okafor,€20.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Switzerland,"May 24, 2000 (23)",Binningen  ,Switzerland,"1,85 m",AC Milan,30-Jun-28,-,-,#17,right,
Odsonne Edouard,€20.00m,Centre-Forward,[],France,"Jan 16, 1998 (26)",Kourou  ,French Guiana,"1,87 m",Crystal Palace,30-Jun-25,-,-,#22,right,
Kyle Walker-Peters,€20.00m,Right-Back,['Left-Back'],England,"Apr 13, 1997 (27)",London  ,England,"1,73 m",Southampton FC,30-Jun-25,-,-,#2,right,adidas
Noa Lang,€20.00m,Left Winger,"['Right Winger', 'Second Striker']",Netherlands,"Jun 17, 1999 (24)",Capelle aan de IJssel  ,Netherlands,"1,70 m",PSV Eindhoven,30-Jun-28,-,-,#7,right,adidas
Sander Berge,€20.00m,Defensive Midfield,['Central Midfield'],Norway,"Feb 14, 1998 (26)",Bærum  ,Norway,"1,95 m",Burnley FC,30-Jun-27,-,-,#16,right,adidas
Christoph Baumgartner,€20.00m,Attacking Midfield,"['Second Striker', 'Left Winger']",Austria,"Aug 1, 1999 (24)",Horn  ,Austria,"1,80 m",RB Leipzig,30-Jun-28,-,-,#14,right,adidas
Sebastian Szymanski,€20.00m,Attacking Midfield,"['Right Winger', 'Central Midfield']",Poland,"May 10, 1999 (24)",Biała Podlaska  ,Poland,"1,74 m",Fenerbahce,30-Jun-27,-,-,#53,left,Nike
Marco Asensio,€20.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",Spain,"Jan 21, 1996 (28)",Palma de Mallorca  ,Spain,"1,82 m",Paris Saint-Germain,30-Jun-26,-,-,#11,left,adidas
