player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter
Rodrigo de Paul,€30.00m,Central Midfield,['Attacking Midfield'],Argentina,"May 24, 1994 (29)",Sarandí  ,Argentina,"1,80 m",Atlético de Madrid,30-Jun-26,-,-,#5,right,adidas
Otávio,€30.00m,Attacking Midfield,"['Right Winger', 'Central Midfield']",Portugal,"Feb 9, 1995 (29)",João Pessoa  ,Brazil,"1,72 m",Al-Nassr FC,30-Jun-26,-,-,#25,right,
José Gayà,€30.00m,Left-Back,[],Spain,"May 25, 1995 (28)",Pedreguer  ,Spain,"1,72 m",Valencia CF,30-Jun-27,-,-,#14,left,Nike
Jonathan Tah,€30.00m,Centre-Back,[],Germany,"Feb 11, 1996 (28)",Hamburg  ,Germany,"1,95 m",Bayer 04 Leverkusen,30-Jun-25,-,-,#4,right,adidas
John McGinn,€30.00m,Central Midfield,"['Left Midfield', 'Defensive Midfield']",Scotland,"Oct 18, 1994 (29)",Glasgow  ,Scotland,"1,78 m",Aston Villa,30-Jun-27,-,-,#7,left,
Stanislav Lobotka,€30.00m,Defensive Midfield,['Central Midfield'],Slovakia,"Nov 25, 1994 (29)",Trenčín  ,Slovakia,"1,68 m",SSC Napoli,30-Jun-27,-,-,#68,right,
João Cancelo,€30.00m,Right-Back,"['Left-Back', 'Right Midfield']",Portugal,"May 27, 1994 (29)",Barreiro  ,Portugal,"1,82 m",FC Barcelona,30-Jun-24,Manchester City,30-Jun-27,#2,right,Nike
Leon Goretzka,€30.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Germany,"Feb 6, 1995 (29)",Bochum  ,Germany,"1,89 m",Bayern Munich,30-Jun-26,-,-,#8,right,
Jan Oblak,€30.00m,Goalkeeper,[],Slovenia,"Jan 7, 1993 (31)",Škofja Loka  ,Slovenia,"1,88 m",Atlético de Madrid,30-Jun-28,-,-,#13,right,Puma
Thibaut Courtois,€30.00m,Goalkeeper,[],Belgium,"May 11, 1992 (31)",Bree  ,Belgium,"2,00 m",Real Madrid,30-Jun-26,-,-,#1,left,Nike
Romelu Lukaku,€30.00m,Centre-Forward,[],Belgium,"May 13, 1993 (30)",Antwerpen  ,Belgium,"1,91 m",AS Roma,30-Jun-24,Chelsea FC,30-Jun-26,#90,left,Nike
Marc-André ter Stegen,€30.00m,Goalkeeper,[],Germany,"Apr 30, 1992 (31)",Mönchengladbach  ,Germany,"1,87 m",FC Barcelona,30-Jun-28,-,-,#1,right,adidas
Mateo Kovacic,€30.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Croatia,"May 6, 1994 (29)",Linz  ,Austria,"1,77 m",Manchester City,30-Jun-27,-,-,#8,right,Nike
Lionel Messi,€30.00m,Right Winger,"['Centre-Forward', 'Second Striker']",Argentina,"Jun 24, 1987 (36)",Rosario  ,Argentina,"1,70 m",Inter Miami CF,31-Dec-25,-,-,#10,left,adidas
Casemiro,€30.00m,Defensive Midfield,[],Brazil,"Feb 23, 1992 (32)",São José dos Campos  ,Brazil,"1,85 m",Manchester United,30-Jun-26,-,-,#18,right,adidas
Hugo Larsson,€28.00m,Central Midfield,['Defensive Midfield'],Sweden,"Jun 27, 2004 (19)",Svarte  ,Sweden,"1,87 m",Eintracht Frankfurt,30-Jun-28,-,-,#16,right,Puma
Danilo,€28.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Brazil,"Apr 29, 2001 (22)",Salvador  ,Brazil,"1,77 m",Nottingham Forest,30-Jun-29,-,-,#28,left,Nike
João Gomes,€28.00m,Central Midfield,['Defensive Midfield'],Brazil,"Feb 12, 2001 (23)",Rio de Janeiro   ,Brazil,"1,76 m",Wolverhampton Wanderers,30-Jun-28,-,-,#8,right,Nike
Jamie Bynoe-Gittens,€28.00m,Left Winger,['Right Winger'],England,"Aug 8, 2004 (19)",London  ,England,"1,77 m",Borussia Dortmund,30-Jun-28,-,-,#43,right,
Ilya Zabarnyi,€28.00m,Centre-Back,[],Ukraine,"Sep 1, 2002 (21)",Kyiv  ,Ukraine,"1,89 m",AFC Bournemouth,30-Jun-28,-,-,#27,right,
Antony,€28.00m,Right Winger,['Left Winger'],Brazil,"Feb 24, 2000 (24)",São Paulo  ,Brazil,"1,72 m",Manchester United,30-Jun-27,-,-,#21,left,Puma
Armando Broja,€28.00m,Centre-Forward,[],Albania,"Sep 10, 2001 (22)",Slough  ,England,"1,91 m",Fulham FC,30-Jun-24,Chelsea FC,30-Jun-28,#9,right,Nike
Youssouf Fofana,€28.00m,Central Midfield,"['Defensive Midfield', 'Right Midfield']",France,"Jan 10, 1999 (25)",Paris  ,France,"1,85 m",AS Monaco,30-Jun-25,-,-,#19,right,adidas
Karim Adeyemi,€28.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Germany,"Jan 18, 2002 (22)",München  ,Germany,"1,80 m",Borussia Dortmund,30-Jun-27,-,-,#27,left,Nike
